
#天津,#genre#
4K影视,http://125.37.56.246:18888/udp/225.1.2.190:5002 -- 0.69 MB/s
CHC动作电影,http://111.167.177.201:4022/udp/225.1.1.215:5002 -- 0.62 MB/s
CHC动作电影,http://125.37.56.246:18888/udp/225.1.1.215:5002 -- 0.66 MB/s
CHC家庭影院,http://125.37.56.246:18888/udp/225.1.1.213:5002 -- 0.67 MB/s
CHC家庭影院,http://111.165.0.98:8888/udp/225.1.1.213:5002 -- 0.66 MB/s
CHC高清电影,http://125.37.56.246:18888/udp/225.1.1.214:5002 -- 0.68 MB/s
CHC高清电影,http://111.165.0.98:8888/udp/225.1.1.214:5002 -- 0.64 MB/s
CHC高清电影,http://111.167.177.201:4022/udp/225.1.1.214:5002 -- 0.63 MB/s
大港油田企业,http://111.167.177.201:4022/udp/225.1.2.14:5002 -- 0.62 MB/s
大港油田企业,http://125.37.56.246:18888/udp/225.1.2.14:5002 -- 0.67 MB/s
天津IPTV,http://111.167.177.201:4022/udp/225.1.2.123:5002 -- 0.62 MB/s
天津IPTV,http://111.165.0.98:8888/udp/225.1.2.123:5002 -- 0.21 MB/s
天津体育,http://125.37.56.246:18888/udp/225.1.1.122:5002 -- 0.70 MB/s
天津体育,http://111.165.0.98:8888/udp/225.1.1.122:5002 -- 0.67 MB/s
天津卫视,http://111.165.0.98:8888/udp/225.1.1.111:5002 -- 0.67 MB/s
天津卫视,http://125.37.56.246:18888/udp/225.1.1.111:5002 -- 0.68 MB/s
天津影视,http://111.165.0.98:8888/udp/225.1.1.149:5002 -- 0.23 MB/s
天津文艺,http://111.167.177.201:4022/udp/225.1.1.131:5002 -- 0.66 MB/s
天津文艺,http://125.37.56.246:18888/udp/225.1.1.131:5002 -- 0.68 MB/s
天津科教,http://111.165.0.98:8888/udp/225.1.1.129:5002 -- 0.64 MB/s
天津科教,http://111.167.177.201:4022/udp/225.1.1.129:5002 -- 0.64 MB/s
天津购物,http://125.37.56.246:18888/udp/225.1.1.151:5002 -- 0.68 MB/s
天津购物,http://111.165.0.98:8888/udp/225.1.1.151:5002 -- 0.63 MB/s
河东卫视,http://111.167.177.201:4022/udp/225.1.2.2:5002 -- 0.27 MB/s
滨海1,http://125.37.56.246:18888/udp/225.1.2.7:5002 -- 0.27 MB/s
滨海2,http://111.167.177.201:4022/udp/225.1.2.8:5002 -- 0.27 MB/s
蓟州卫视,http://125.37.56.246:18888/udp/225.1.1.82:5002 -- 0.67 MB/s
静海卫视,http://111.167.177.201:4022/udp/225.1.1.110:5002 -- 0.26 MB/s
静海卫视,http://125.37.56.246:18888/udp/225.1.1.110:5002 -- 0.27 MB/s

#上海,#genre#
MAX极速汽车,http://58.32.33.251:4022/udp/239.45.3.49:5140 -- 0.39 MB/s
MAX极速汽车,http://222.67.66.128:5555/udp/239.45.3.49:5140 -- 0.38 MB/s
MAX极速汽车,http://116.226.15.172:9999/udp/239.45.3.49:5140 -- 0.42 MB/s
七彩戏剧,http://58.37.210.191:8888/udp/239.45.0.16:5140 -- 0.77 MB/s
七彩戏剧,http://222.67.66.128:5555/udp/239.45.0.16:5140 -- 0.45 MB/s
七彩戏剧,http://223.167.77.145:4022/udp/239.45.0.16:5140 -- 0.22 MB/s
七彩戏剧,http://116.226.38.242:4022/udp/239.45.0.16:5140 -- 0.13 MB/s
七彩戏剧,http://58.32.33.251:4022/udp/239.45.0.16:5140 -- 0.61 MB/s
七彩戏剧,http://116.226.15.172:9999/udp/239.45.0.16:5140 -- 0.70 MB/s
上海东方卫视,http://116.226.15.172:9999/udp/239.45.3.146:5140 -- 0.72 MB/s
上海东方卫视,http://223.167.77.145:4022/udp/239.45.3.146:5140 -- 0.18 MB/s
上海东方卫视,http://58.32.33.251:4022/udp/239.45.3.146:5140 -- 0.62 MB/s
上海东方卫视,http://116.226.38.242:4022/udp/239.45.3.146:5140 -- 0.28 MB/s
上海东方卫视,http://222.67.66.128:5555/udp/239.45.3.146:5140 -- 0.51 MB/s
上海新闻综合,http://223.167.77.145:4022/udp/239.45.3.209:5140 -- 0.29 MB/s
上海新闻综合,http://116.226.15.172:9999/udp/239.45.3.209:5140 -- 0.73 MB/s
上海新闻综合,http://58.32.33.251:4022/udp/239.45.3.209:5140 -- 0.60 MB/s
上海新闻综合,http://222.67.66.128:5555/udp/239.45.3.209:5140 -- 0.42 MB/s
上海第一财经,http://116.226.15.172:9999/udp/239.45.3.211:5140 -- 0.72 MB/s
上海第一财经,http://223.167.77.145:4022/udp/239.45.3.211:5140 -- 0.43 MB/s
上海第一财经,http://116.226.38.242:4022/udp/239.45.3.211:5140 -- 0.12 MB/s
上海第一财经,http://58.32.33.251:4022/udp/239.45.3.211:5140 -- 0.61 MB/s
上海第一财经,http://222.67.66.128:5555/udp/239.45.3.211:5140 -- 0.44 MB/s
上海纪实人文,http://223.167.77.145:4022/udp/239.45.3.212:5140 -- 0.54 MB/s
上海纪实人文,http://116.226.15.172:9999/udp/239.45.3.212:5140 -- 0.70 MB/s
上海纪实人文,http://58.32.33.251:4022/udp/239.45.3.212:5140 -- 0.61 MB/s
上海纪实人文,http://58.37.210.191:8888/udp/239.45.3.212:5140 -- 0.77 MB/s
上海都市频道,http://116.226.15.172:9999/udp/239.45.3.236:5140 -- 0.72 MB/s
上海都市频道,http://58.32.33.251:4022/udp/239.45.3.236:5140 -- 0.61 MB/s
上海都市频道,http://222.67.66.128:5555/udp/239.45.3.236:5140 -- 0.43 MB/s
上视外语,http://223.167.77.145:4022/udp/239.45.1.127:5140 -- 0.31 MB/s
上视外语,http://116.226.15.172:9999/udp/239.45.1.127:5140 -- 0.13 MB/s
上视外语,http://58.32.33.251:4022/udp/239.45.1.127:5140 -- 0.60 MB/s
上视外语,http://116.226.38.242:4022/udp/239.45.1.127:5140 -- 0.11 MB/s
上视外语,http://222.67.66.128:5555/udp/239.45.1.127:5140 -- 0.50 MB/s
东方影视,http://222.67.66.128:5555/udp/239.45.3.237:5140 -- 0.45 MB/s
东方影视,http://58.32.33.251:4022/udp/239.45.3.237:5140 -- 0.61 MB/s
东方影视,http://223.167.77.145:4022/udp/239.45.3.237:5140 -- 0.56 MB/s
东方影视,http://116.226.15.172:9999/udp/239.45.3.237:5140 -- 0.72 MB/s
东方财经,http://116.226.15.172:9999/udp/239.45.1.119:5140 -- 0.41 MB/s
东方财经,http://222.67.66.128:5555/udp/239.45.1.119:5140 -- 0.36 MB/s
东方财经,http://58.32.33.251:4022/udp/239.45.1.119:5140 -- 0.41 MB/s
五星体育,http://58.32.33.251:4022/udp/239.45.3.210:5140 -- 0.60 MB/s
五星体育,http://116.226.15.172:9999/udp/239.45.3.210:5140 -- 0.71 MB/s
五星体育,http://222.67.66.128:5555/udp/239.45.3.210:5140 -- 0.48 MB/s
五星体育,http://58.37.210.191:8888/udp/239.45.3.210:5140 -- 0.45 MB/s
五星体育,http://116.226.38.242:4022/udp/239.45.3.210:5140 -- 0.24 MB/s
健康人生,http://116.226.15.172:9999/udp/239.45.3.214:5140 -- 0.42 MB/s
健康人生,http://58.32.33.251:4022/udp/239.45.3.214:5140 -- 0.41 MB/s
健康人生,http://116.226.38.242:4022/udp/239.45.3.214:5140 -- 0.36 MB/s
健康人生,http://222.67.66.128:5555/udp/239.45.3.214:5140 -- 0.36 MB/s
全纪实,http://58.32.33.251:4022/udp/239.45.3.135:5140 -- 0.60 MB/s
全纪实,http://223.167.77.145:4022/udp/239.45.3.135:5140 -- 0.26 MB/s
全纪实,http://222.67.66.128:5555/udp/239.45.3.135:5140 -- 0.45 MB/s
全纪实,http://116.226.15.172:9999/udp/239.45.3.135:5140 -- 0.72 MB/s
动漫秀场,http://58.32.33.251:4022/udp/239.45.3.134:5140 -- 0.60 MB/s
动漫秀场,http://116.226.15.172:9999/udp/239.45.3.134:5140 -- 0.70 MB/s
