
#北京,#genre#

#上海,#genre#
MAX极速汽车,http://180.158.73.138:8222/udp/239.45.3.49:5140 -- 0.40 MB/s
七彩戏剧,http://180.158.73.138:8222/udp/239.45.0.16:5140 -- 0.64 MB/s
上海东方卫视,http://180.158.73.138:8222/udp/239.45.3.146:5140 -- 0.66 MB/s
上海新闻综合,http://180.158.73.138:8222/udp/239.45.3.209:5140 -- 0.66 MB/s
上海第一财经,http://180.158.73.138:8222/udp/239.45.3.211:5140 -- 0.65 MB/s
上海纪实人文,http://180.158.73.138:8222/udp/239.45.3.212:5140 -- 0.67 MB/s
上海都市频道,http://180.158.73.138:8222/udp/239.45.3.236:5140 -- 0.67 MB/s
上视外语,http://180.158.73.138:8222/udp/239.45.1.127:5140 -- 0.64 MB/s
东方影视,http://180.158.73.138:8222/udp/239.45.3.237:5140 -- 0.66 MB/s
东方财经,http://180.158.73.138:8222/udp/239.45.1.119:5140 -- 0.40 MB/s
五星体育,http://180.158.73.138:8222/udp/239.45.3.210:5140 -- 0.64 MB/s
健康人生,http://180.158.73.138:8222/udp/239.45.3.214:5140 -- 0.39 MB/s
全纪实,http://180.158.73.138:8222/udp/239.45.3.135:5140 -- 0.64 MB/s
动漫秀场,http://180.158.73.138:8222/udp/239.45.3.134:5140 -- 0.57 MB/s
哈哈炫动,http://180.158.73.138:8222/udp/239.45.1.55:5140 -- 0.63 MB/s
嘉定频道,http://180.158.73.138:8222/udp/239.45.3.185:5140 -- 0.18 MB/s
崇明电视,http://180.158.73.138:8222/udp/239.45.1.54:5140 -- 0.39 MB/s
教育台,http://180.158.73.138:8222/udp/239.45.3.122:5140 -- 0.39 MB/s
欢笑剧场,http://180.158.73.138:8222/udp/239.45.3.196:5140 -- 0.65 MB/s
欢笑剧场（备）,http://180.158.73.138:8222/udp/239.45.1.4:5140 -- 0.61 MB/s
法治天地,http://180.158.73.138:8222/udp/239.45.1.46:5140 -- 0.67 MB/s
浦东频道,http://180.158.73.138:8222/udp/239.45.3.248:5140 -- 0.26 MB/s
游戏风云,http://180.158.73.138:8222/udp/239.45.3.131:5140 -- 0.39 MB/s
生活时尚,http://180.158.73.138:8222/udp/239.45.3.132:5140 -- 0.66 MB/s
百事通4K,http://180.158.73.138:8222/udp/239.45.1.42:5140 -- 0.67 MB/s
百事通超级体育,http://180.158.73.138:8222/udp/239.45.3.139:5140 -- 0.66 MB/s
都市剧场,http://180.158.73.138:8222/udp/239.45.3.136:5140 -- 0.65 MB/s
金色频道,http://180.158.73.138:8222/udp/239.45.1.118:5140 -- 0.30 MB/s

#天津,#genre#
4K影视,http://ycnas.zixi.ltd:8888/udp/225.1.2.190:5002 -- 0.50 MB/s
4K影视,http://116.130.129.175:8888/udp/225.1.2.190:5002 -- 0.14 MB/s
4K影视,http://abdullahyang.tpddns.cn:8686/udp/225.1.2.190:5002 -- 0.55 MB/s
4K影视,http://lanfenggood.asia:4022/udp/225.1.2.190:5002 -- 0.26 MB/s
4K影视,http://111.165.234.187:50000/udp/225.1.2.190:5002 -- 0.16 MB/s
4K影视,http://tjbd.zhangyajun.top:8686/udp/225.1.2.190:5002 -- 0.48 MB/s
4K影视,http://blg6982.asuscomm.cn:8686/udp/225.1.2.190:5002 -- 0.53 MB/s
4K影视,http://221.198.175.102:8888/udp/225.1.2.190:5002 -- 0.54 MB/s
4K影视,http://homeikuai1402.top:8888/udp/225.1.2.190:5002 -- 0.51 MB/s
4K影视,http://218.67.182.99:8888/udp/225.1.2.190:5002 -- 0.54 MB/s
4K影视,http://221.196.155.32:8888/udp/225.1.2.190:5002 -- 0.33 MB/s
4K影视,http://111.165.213.195:8000/udp/225.1.2.190:5002 -- 0.23 MB/s
4K影视,http://60.27.100.97:8082/udp/225.1.2.190:5002 -- 0.55 MB/s
CHC动作电影,http://xuys.top:8888/udp/225.1.1.215:5002 -- 0.14 MB/s
CHC动作电影,http://homeikuai1402.top:8888/udp/225.1.1.215:5002 -- 0.52 MB/s
CHC动作电影,http://abdullahyang.tpddns.cn:8686/udp/225.1.1.215:5002 -- 0.44 MB/s
CHC动作电影,http://218.67.182.99:8888/udp/225.1.1.215:5002 -- 0.52 MB/s
CHC动作电影,http://ycnas.zixi.ltd:8888/udp/225.1.1.215:5002 -- 0.54 MB/s
CHC动作电影,http://111.165.234.187:50000/udp/225.1.1.215:5002 -- 0.42 MB/s
CHC动作电影,http://tjbd.zhangyajun.top:8686/udp/225.1.1.215:5002 -- 0.53 MB/s
CHC动作电影,http://60.27.100.97:8082/udp/225.1.1.215:5002 -- 0.54 MB/s
CHC动作电影,http://111.165.213.195:8000/udp/225.1.1.215:5002 -- 0.25 MB/s
CHC动作电影,http://blg6982.asuscomm.cn:8686/udp/225.1.1.215:5002 -- 0.54 MB/s
CHC动作电影,http://221.198.175.102:8888/udp/225.1.1.215:5002 -- 0.55 MB/s
CHC动作电影,http://221.196.155.32:8888/udp/225.1.1.215:5002 -- 0.34 MB/s
CHC动作电影,http://lanfenggood.asia:4022/udp/225.1.1.215:5002 -- 0.50 MB/s
CHC家庭影院,http://ycnas.zixi.ltd:8888/udp/225.1.1.213:5002 -- 0.55 MB/s
CHC家庭影院,http://blg6982.asuscomm.cn:8686/udp/225.1.1.213:5002 -- 0.53 MB/s
CHC家庭影院,http://lanfenggood.asia:4022/udp/225.1.1.213:5002 -- 0.26 MB/s
CHC家庭影院,http://abdullahyang.tpddns.cn:8686/udp/225.1.1.213:5002 -- 0.54 MB/s
CHC家庭影院,http://tjbd.zhangyajun.top:8686/udp/225.1.1.213:5002 -- 0.45 MB/s
CHC家庭影院,http://221.196.155.32:8888/udp/225.1.1.213:5002 -- 0.35 MB/s
CHC家庭影院,http://homeikuai1402.top:8888/udp/225.1.1.213:5002 -- 0.52 MB/s
CHC家庭影院,http://60.27.100.97:8082/udp/225.1.1.213:5002 -- 0.55 MB/s
CHC家庭影院,http://218.67.182.99:8888/udp/225.1.1.213:5002 -- 0.53 MB/s
CHC家庭影院,http://111.165.234.187:50000/udp/225.1.1.213:5002 -- 0.23 MB/s
CHC家庭影院,http://111.165.213.195:8000/udp/225.1.1.213:5002 -- 0.28 MB/s
CHC家庭影院,http://221.198.175.102:8888/udp/225.1.1.213:5002 -- 0.55 MB/s
CHC高清电影,http://homeikuai1402.top:8888/udp/225.1.1.214:5002 -- 0.50 MB/s
CHC高清电影,http://116.130.129.175:8888/udp/225.1.1.214:5002 -- 0.27 MB/s
CHC高清电影,http://60.27.100.97:8082/udp/225.1.1.214:5002 -- 0.54 MB/s
CHC高清电影,http://111.165.234.187:50000/udp/225.1.1.214:5002 -- 0.22 MB/s
CHC高清电影,http://tjbd.zhangyajun.top:8686/udp/225.1.1.214:5002 -- 0.53 MB/s
CHC高清电影,http://218.67.182.99:8888/udp/225.1.1.214:5002 -- 0.54 MB/s
CHC高清电影,http://blg6982.asuscomm.cn:8686/udp/225.1.1.214:5002 -- 0.53 MB/s
CHC高清电影,http://xuys.top:8888/udp/225.1.1.214:5002 -- 0.12 MB/s
CHC高清电影,http://ycnas.zixi.ltd:8888/udp/225.1.1.214:5002 -- 0.54 MB/s
CHC高清电影,http://abdullahyang.tpddns.cn:8686/udp/225.1.1.214:5002 -- 0.53 MB/s
CHC高清电影,http://111.165.213.195:8000/udp/225.1.1.214:5002 -- 0.21 MB/s
CHC高清电影,http://221.198.175.102:8888/udp/225.1.1.214:5002 -- 0.54 MB/s
CHC高清电影,http://lanfenggood.asia:4022/udp/225.1.1.214:5002 -- 0.53 MB/s
CHC高清电影,http://221.196.155.32:8888/udp/225.1.1.214:5002 -- 0.20 MB/s
大港油田企业,http://60.27.100.97:8082/udp/225.1.2.14:5002 -- 0.53 MB/s
大港油田企业,http://218.67.182.99:8888/udp/225.1.2.14:5002 -- 0.47 MB/s
大港油田企业,http://homeikuai1402.top:8888/udp/225.1.2.14:5002 -- 0.53 MB/s
大港油田企业,http://111.165.234.187:50000/udp/225.1.2.14:5002 -- 0.28 MB/s
大港油田企业,http://ycnas.zixi.ltd:8888/udp/225.1.2.14:5002 -- 0.47 MB/s
大港油田企业,http://lanfenggood.asia:4022/udp/225.1.2.14:5002 -- 0.33 MB/s
大港油田企业,http://111.165.213.195:8000/udp/225.1.2.14:5002 -- 0.16 MB/s
大港油田企业,http://abdullahyang.tpddns.cn:8686/udp/225.1.2.14:5002 -- 0.37 MB/s
大港油田企业,http://blg6982.asuscomm.cn:8686/udp/225.1.2.14:5002 -- 0.54 MB/s
大港油田企业,http://221.198.175.102:8888/udp/225.1.2.14:5002 -- 0.55 MB/s
大港油田企业,http://tjbd.zhangyajun.top:8686/udp/225.1.2.14:5002 -- 0.45 MB/s
大港油田企业,http://221.196.155.32:8888/udp/225.1.2.14:5002 -- 0.34 MB/s
天津IPTV,http://homeikuai1402.top:8888/udp/225.1.2.123:5002 -- 0.52 MB/s
天津IPTV,http://218.67.182.99:8888/udp/225.1.2.123:5002 -- 0.52 MB/s
天津IPTV,http://blg6982.asuscomm.cn:8686/udp/225.1.2.123:5002 -- 0.52 MB/s
天津IPTV,http://abdullahyang.tpddns.cn:8686/udp/225.1.2.123:5002 -- 0.44 MB/s
天津IPTV,http://221.198.175.102:8888/udp/225.1.2.123:5002 -- 0.54 MB/s
天津IPTV,http://xuys.top:8888/udp/225.1.2.123:5002 -- 0.15 MB/s
天津IPTV,http://111.165.213.195:8000/udp/225.1.2.123:5002 -- 0.22 MB/s
天津IPTV,http://lanfenggood.asia:4022/udp/225.1.2.123:5002 -- 0.35 MB/s
天津IPTV,http://tjbd.zhangyajun.top:8686/udp/225.1.2.123:5002 -- 0.48 MB/s
天津IPTV,http://221.196.155.32:8888/udp/225.1.2.123:5002 -- 0.35 MB/s
天津IPTV,http://60.27.100.97:8082/udp/225.1.2.123:5002 -- 0.54 MB/s
天津IPTV,http://ycnas.zixi.ltd:8888/udp/225.1.2.123:5002 -- 0.54 MB/s
天津交通广播,http://111.165.234.187:50000/udp/225.1.1.175:5002 -- 0.25 MB/s
天津交通广播,http://blg6982.asuscomm.cn:8686/udp/225.1.1.175:5002 -- 0.28 MB/s
天津交通广播,http://lanfenggood.asia:4022/udp/225.1.1.175:5002 -- 0.24 MB/s
天津交通广播,http://abdullahyang.tpddns.cn:8686/udp/225.1.1.175:5002 -- 0.25 MB/s
天津交通广播,http://218.67.182.99:8888/udp/225.1.1.175:5002 -- 0.28 MB/s
天津交通广播,http://tjbd.zhangyajun.top:8686/udp/225.1.1.175:5002 -- 0.26 MB/s
天津交通广播,http://60.27.100.97:8082/udp/225.1.1.175:5002 -- 0.27 MB/s
天津交通广播,http://ycnas.zixi.ltd:8888/udp/225.1.1.175:5002 -- 0.28 MB/s
天津交通广播,http://221.198.175.102:8888/udp/225.1.1.175:5002 -- 0.28 MB/s
天津交通广播,http://homeikuai1402.top:8888/udp/225.1.1.175:5002 -- 0.28 MB/s
天津交通广播,http://111.165.213.195:8000/udp/225.1.1.175:5002 -- 0.21 MB/s
天津交通广播,http://221.196.155.32:8888/udp/225.1.1.175:5002 -- 0.27 MB/s
天津体育,http://218.67.182.99:8888/udp/225.1.1.122:5002 -- 0.54 MB/s
天津体育,http://lanfenggood.asia:4022/udp/225.1.1.122:5002 -- 0.49 MB/s
天津体育,http://60.27.100.97:8082/udp/225.1.1.122:5002 -- 0.54 MB/s
天津体育,http://221.198.175.102:8888/udp/225.1.1.122:5002 -- 0.57 MB/s
天津体育,http://116.130.129.175:8888/udp/225.1.1.122:5002 -- 0.21 MB/s
天津体育,http://blg6982.asuscomm.cn:8686/udp/225.1.1.122:5002 -- 0.54 MB/s
天津体育,http://homeikuai1402.top:8888/udp/225.1.1.122:5002 -- 0.49 MB/s
天津体育,http://111.165.234.187:50000/udp/225.1.1.122:5002 -- 0.15 MB/s
天津体育,http://tjbd.zhangyajun.top:8686/udp/225.1.1.122:5002 -- 0.49 MB/s
天津体育,http://abdullahyang.tpddns.cn:8686/udp/225.1.1.122:5002 -- 0.37 MB/s
天津体育,http://ycnas.zixi.ltd:8888/udp/225.1.1.122:5002 -- 0.53 MB/s
天津体育,http://111.165.213.195:8000/udp/225.1.1.122:5002 -- 0.18 MB/s
天津体育,http://221.196.155.32:8888/udp/225.1.1.122:5002 -- 0.31 MB/s
天津农村广播,http://tjbd.zhangyajun.top:8686/udp/225.1.1.180:5002 -- 0.26 MB/s
天津农村广播,http://abdullahyang.tpddns.cn:8686/udp/225.1.1.180:5002 -- 0.26 MB/s
天津农村广播,http://blg6982.asuscomm.cn:8686/udp/225.1.1.180:5002 -- 0.23 MB/s
天津农村广播,http://60.27.100.97:8082/udp/225.1.1.180:5002 -- 0.28 MB/s
天津农村广播,http://homeikuai1402.top:8888/udp/225.1.1.180:5002 -- 0.28 MB/s
天津农村广播,http://111.165.213.195:8000/udp/225.1.1.180:5002 -- 0.15 MB/s
天津农村广播,http://111.165.234.187:50000/udp/225.1.1.180:5002 -- 0.26 MB/s
天津农村广播,http://221.198.175.102:8888/udp/225.1.1.180:5002 -- 0.28 MB/s
天津农村广播,http://221.196.155.32:8888/udp/225.1.1.180:5002 -- 0.27 MB/s
天津农村广播,http://ycnas.zixi.ltd:8888/udp/225.1.1.180:5002 -- 0.28 MB/s
天津农村广播,http://218.67.182.99:8888/udp/225.1.1.180:5002 -- 0.13 MB/s
天津农村广播,http://lanfenggood.asia:4022/udp/225.1.1.180:5002 -- 0.27 MB/s
