
#青海,#genre#

#陕西,#genre#
丝路频道,http://1.83.124.195:8888/rtp/239.112.205.176:5140 -- 0.27 MB/s
商务资讯,http://1.83.124.195:8888/rtp/239.112.205.174:5140 -- 0.28 MB/s
悦美生活,http://1.83.124.195:8888/rtp/239.111.205.30:5140 -- 0.42 MB/s
新闻综合,http://1.83.124.195:8888/rtp/239.111.205.242:5140 -- 0.28 MB/s
陕西生活,http://1.83.124.195:8888/rtp/239.112.205.20:5140 -- 0.28 MB/s

#辽宁,#genre#
党员教育,http://42.4.216.160:9010/rtp/232.0.0.129:1234 -- 0.47 MB/s
沈阳新闻综合,http://42.4.216.160:9010/rtp/232.0.0.206:1234 -- 0.47 MB/s
盘锦新闻,http://42.4.216.160:9010/rtp/232.0.0.148:1234 -- 0.22 MB/s
辽宁体育,http://42.4.216.160:9010/rtp/232.0.0.164:1234 -- 0.48 MB/s
辽宁公共,http://42.4.216.160:9010/rtp/232.0.0.168:1234 -- 0.38 MB/s
辽宁北方,http://42.4.216.160:9010/rtp/232.0.0.151:1234 -- 0.47 MB/s
辽宁卫视,http://42.4.216.160:9010/rtp/232.0.0.126:1234 -- 0.48 MB/s
辽宁宜佳购物,http://42.4.216.160:9010/rtp/232.0.0.30:1234 -- 0.47 MB/s
辽宁影视剧,http://42.4.216.160:9010/rtp/232.0.0.25:1234 -- 0.47 MB/s
辽宁教育青少,http://42.4.216.160:9010/rtp/232.0.0.241:1234 -- 0.48 MB/s
辽宁生活,http://42.4.216.160:9010/rtp/232.0.0.150:1234 -- 0.47 MB/s
辽宁经济,http://42.4.216.160:9010/rtp/232.0.0.156:1234 -- 0.47 MB/s
辽宁都市,http://42.4.216.160:9010/rtp/232.0.0.154:1234 -- 0.49 MB/s
辽河文化生活,http://42.4.216.160:9010/rtp/232.0.0.215:1234 -- 0.38 MB/s
辽河新闻综合,http://42.4.216.160:9010/rtp/232.0.0.214:1234 -- 0.43 MB/s

#福建电信,#genre#

#甘肃,#genre#

#北京,#genre#

#山东,#genre#

#湖南,#genre#

#湖北,#genre#

#浙江,#genre#

#河南,#genre#

#江西,#genre#

#江苏,#genre#

#广西,#genre#

#山西,#genre#

#安徽,#genre#

#天津,#genre#

#四川,#genre#

#吉林,#genre#

#内蒙古,#genre#

#上海,#genre#

#广东,#genre#

#河北,#genre#

#云南,#genre#

#重庆,#genre#
